Federated Investors, Inc.;Federated	Federated
Merrill Lynch & Co Inc;Merrill	伟禄美林证券
Halliburton Company;Halliburton	哈里伯顿
Focus Media Holding Limited;FOCUS MEDIA HOLDING	分众传媒控股有限公司
Jefferies Group LLC	杰富瑞集团
Applied Materials, Inc.;Applied Materials	应用材料
BOK Financial Corporation;BOK Financial	博克金融
First Horizon National Corporation;First Horizon	First Horizon
First Midwest Bancorp, Inc.	First Midwest Bancorp, Inc.
Fulton Financial Corporation	富尔顿金融公司
Popular, Inc.;Popular	Popular
Associated Banc-Corp	联合银行公司
Astoria Financial Corporation	Astoria Financial Corporation
Banco Santander (Brasil) S.A.;Santander Brasil	桑坦德巴西分行
Bank of Hawaii Corporation;Bank of Hawaii	夏威夷银行
The Bank of Nova Scotia	加拿大丰业银行
First Commonwealth Financial Corporation	First Commonwealth Financial Corporation
First Interstate BancSystem, Inc.;First Interstate BancSystem	First Interstate BancSystem
Central Pacific Financial Corp.	Central Pacific Financial Corp.
Columbia Financial, Inc.	Columbia Financial, Inc.
TD Ameritrade Holding Corporation;TD Ameritrade	亚美利交易
First Republic Bank;First Republic	First Republic
ING Groep N.V.;ING Groep	荷兰国际集团
American International Group, Inc.;AIG	美国国际集团
Barclays PLC;Barclays	巴克莱
Bank of Montreal;BMO	蒙特利尔银行
J.C. Penney Company, Inc.;JCPenney	美国彭尼公司
Comcast Corporation;Comcast	康卡斯特
Express Scripts Holding Company;Express Scripts	快捷药方
Banco Bradesco S.A.;Bradesco	布拉德斯科
British American Tobacco p.l.c.;BAT	英美烟草
Emerson Electric Co.;Emerson	艾默生
ConocoPhillips;ConocoPhillips	康菲石油
Coupa Software Incorporated;Coupa	Coupa
Canadian Imperial Bank of Commerce;CIBC	加拿大帝国银行
CME Group Inc.;CME Group	芝商所
Canadian Natural Resources Limited;Canadian Natural	Canadian Natural
Devon Energy Corporation;Devon	Devon
Devon Energy Corporation;Devon	Devon
Canadian National Railway Company	加拿大国家铁路公司
Fresenius Medical Care AG & Co. KGaA;Fresenius Medical Care AG	Fresenius Medical Care AG
Enbridge Inc.;Enbridge	Enbridge
Bank of America Corporation;Bank of America	美国银行
Fortinet, Inc.;Fortinet	防特网
Hong Kong Television Network Limited;HKTV	香港电视
Banco Bilbao Vizcaya Argentaria, S.A.;BBVA	西班牙对外银行
The Bank of New York Mellon Corporation;The Bank of New York Mellon	纽约梅隆银行
First Bank	First Bank
Alibaba Group Holding Limited;Alibaba Group	阿里巴巴集团
ORIX Corporation;ORIX	欧力士
Apollo Investment Corporation;Apollo	Apollo
Apollo Group Inc.	阿波罗公司
Aviva Investors Global Services Limited	英杰华投资集团
Euro Tech Holdings Company Limited;Euro Tech	欧陆科仪
Biostar Pharmaceuticals, Inc.;Biostar Pharmaceuticals	奥星制药
China Precision Steel, Inc.;CPSL	中国精密带钢
Fuwei Films (Holdings) Co., Ltd.;Fuwei Films	富维薄膜
NF Energy Saving Corporation;NF Energy	能发伟业
Himax Technologies, Inc.;Himax	奇景光电
AsiaInfo-Linkage, Inc.;ASIAINFO LINKAGE	亚信联创
China Automotive Systems, Inc.;China Automotive Systems	中国汽车系统
China Shengda Packaging Group Inc.;SHENGDA PACKAGING	胜达包装
eLong, Inc.;ELONG	艺龙
China HGS Real Estate Inc.;China HGS	中国汉广厦
JA Solar Holdings Co., Ltd.	晶澳太阳能控股有限公司
Integrated Silicon Solution Inc;INTEGRATED SILICON SOLUTION	芯成半导体
BIQI International Holding Corporation;BIQI	博琪控股
eFuture Information Technology Inc.;EFUTURE	富基融通
Johnson Controls Inc.;Johnson Controls	Johnson Controls Inc.
Deutsche Bank Aktiengesellschaft;Deutsche Bank AG	德意志银行
AutoNavi Holdings Limited;AUTONAVI	高德
Andatee China Marine Fuel Services Corp;ANDATEE CHINA MARINE FUEL SERVICES	星源船舶燃料
ATA Inc.;ATA	ATA
Bona Film Group Limited;BONA	博纳影业集团
IT Tech Packaging, Inc.;IT Tech Packaging	互联网科技包装
BCD Semiconductor Manufacturing Ltd;BCD SEMICONDUCTOR	BCD半导体
Baidu, Inc.;Baidu	百度
Longwei Petroleum Investment Holding Limited;LONGWEI PETROLEUM	龙威石油
Phoenix New Media Limited;Phoenix New Media	凤凰新媒体
China Marine Food Group Limited	中国海洋食品集团
Alderon Iron	Alderon Iron
The Allstate Corporation;Aallstate	好事达保险
Allied Nevada	Allied Nevada
Alexco Resource Corp.;Alexco	Alexco
Ever-Glory International Group, Inc.	江苏华瑞服装有限公司
China Metro-Rural Holdings Limited;CHINA METRO-RURAL HOLDINGS	民生控股集团
China Pharma Holdings, Inc.	China Pharma Holdings, Inc.
ChinaNet Online Holdings, Inc.;ChinaNet Online	中网载线
China Armco Metals, Inc.;ARMCO METALS	惠通
Augusta Resource	Augusta Resource
Dunxin Financial Holdings Limited;XINIYA	敦信金控
Brigus Gold Corporation;Apollo Gold	Apollo Gold
Aurizon Mines	Aurizon Mines
Avino Silver & Gold Mines Ltd.	Avino Silver & Gold Mines Ltd.
